Quote,Author
"Be yourself; everyone else is already taken.",Oscar Wilde
"So many books, so little time.",Frank Zappa
"A room without books is like a body without a soul.",Marcus Tullius Cicero
"You only live once, but if you do it right, once is enough.",Mae West
"Be the change that you wish to see in the world.",Mahatma Gandhi
"In the end, it's not the years in your life that count. It's the life in your years.",Abraham Lincoln
"Never let the fear of striking out keep you from playing the game.",Babe Ruth
"Life is not measured by the number of breaths we take but by the moments that take our breath away.",Maya Angelou
"If you tell the truth, you don't have to remember anything.",Mark Twain
"A friend is someone who knows all about you and still loves you.",Elbert Hubbard
"Always forgive your enemies; nothing annoys them so much.",Oscar Wilde
"To live is the rarest thing in the world. Most people just exist.",Oscar Wilde
"We accept the love we think we deserve.",Stephen Chbosky
"It is better to be hated for what you are than to be loved for what you are not.",André Gide
"I am so clever that sometimes I don't understand a single word of what I am saying.",Oscar Wilde
"A day without sunshine is like, you know, night.",Steve Martin
"Without music, life would be a mistake.",Friedrich Nietzsche
"I may not have gone where I intended to go, but I think I have ended up where I needed to be.",Douglas Adams
"Good friends, good books, and a sleepy conscience: this is the ideal life.",Mark Twain
"Life is what we make it, always has been, always will be.",Grandma Moses
