Quote,Author
"I can do all things through Christ who strengthens me.",Philippians 4:13
"For I know the plans I have for you, declares the Lord, plans for welfare and not for evil, to give you a future and a hope.",Jeremiah 29:11
"Peace I leave with you; my peace I give to you. Not as the world gives do I give to you. Let not your hearts be troubled, neither let them be afraid.",John 14:27
"Come to me, all who labor and are heavy laden, and I will give you rest.",Matthew 11:28
"We know that all things work for good for those who love God, who are called according to his purpose.",Romans 8:28
"Fear not, for I am with you; be not dismayed, for I am your God; I will strengthen you, I will help you, I will uphold you with my righteous right hand.",Isaiah 41:10
"Your word is a lamp to my feet and a light to my path.",Psalm 119:105
"But thanks be to God, who gives us the victory through our Lord Jesus Christ.",1 Corinthians 15:57
"Trust in the Lord with all your heart, and do not lean on your own understanding. In all your ways acknowledge him, and he will make straight your paths.",Proverbs 3:5-6
"Be strong and courageous. Do not fear or be in dread of them, for it is the Lord your God who goes with you. He will not leave you or forsake you.",Deuteronomy 31:6
"The Lord is my shepherd; I shall not want.",Psalm 23:1
"God is love, and whoever abides in love abides in God, and God abides in him.",1 John 4:16
"For God so loved the world that he gave his only Son, that whoever believes in him should not perish but have eternal life.",John 3:16
"I have said these things to you, that in me you may have peace. In the world you will have tribulation. But take heart; I have overcome the world.",John 16:33
"Blessed is anyone who endures temptation. Such a one has stood the test and will receive the crown of life that the Lord has promised to those who love him.",James 1:12
"Pray, hope, and don't worry. Worry is useless. God is merciful and will hear your prayer.",St. Padre Pio
"Not all of us can do great things. But we can do small things with great love.",St. Teresa of Calcutta
"To have courage for whatever comes in life — everything lies in that.",St. Teresa of Ávila
"Pain and suffering have come into your life, but remember pain, sorrow, suffering are but the kiss of Jesus — a sign that you have come so close to Him that He can kiss you.",St. Teresa of Calcutta
"A humble soul does not trust itself, but places all its confidence in God.",St. Faustina Kowalska
"Faith is to believe what you do not see. The reward of faith is to see what you believe.",St. Augustine
"Preach the Gospel at all times, and when necessary, use words.",St. Francis of Assisi
"Without the burden of afflictions it is impossible to reach the height of grace. The gift of grace increases as the struggle increases.",St. Rose of Lima
"Actions speak louder than words; let your words teach and your actions speak.",St. Anthony of Padua
"Unfurl the sails, and let God steer us where He will.",St. Bede the Venerable
"The important thing is to do charity, not to talk about charity.",St. Teresa of Calcutta
"Lord, help me to live this day, quietly, easily. To lean upon Thy great strength, trustfully, restfully.",St. Francis de Sales
"We always find that those who walked closest to Christ were those who had to bear the greatest trials.",St. Teresa of Ávila
"Pray as though everything depended on God. Work as though everything depended on you.",St. Augustine
"Be faithful in small things because it is in them that your strength lies.",St. Teresa of Calcutta
"To one who has faith, no explanation is necessary. To one without faith, no explanation is possible.",St. Thomas Aquinas
"There is nothing on this earth more to be prized than true friendship.",St. Thomas Aquinas
"Happiness is secured through virtue; it is a good attained by man's own will.",St. Thomas Aquinas
"Go forth in peace, for you have followed the good road.",Traditional
"Christ has made my soul beautiful with the jewels of grace.",Traditional
"There are far, far better things ahead than any we leave behind.",C.S. Lewis
"The Christian does not think God will love us because we are good, but that God will make us good because He loves us.",C.S. Lewis
"Only in Christ can men and women find answers to the ultimate questions that trouble them.",Pope St. John Paul II
"Faith and reason are like two wings on which the human spirit rises to the contemplation of truth.",Pope St. John Paul II
"We are an Easter people and Alleluia is our song!",Pope St. John Paul II
"Be amazed at the heights to which you are called.",Pope St. John Paul II
"Humility is not thinking less of yourself, but thinking of yourself less.",C.S. Lewis
"If I find in myself a desire which no experience in this world can satisfy, the most probable explanation is that I was made for another world.",C.S. Lewis
"Joy is a net of love by which you can catch souls.",St. Teresa of Calcutta
"Never be afraid to trust an unknown future to a known God.",Corrie ten Boom
"Relying on God has to start all over every day, as if nothing has yet been done.",C.S. Lewis
"To convert somebody, go and take them by the hand and guide them.",St. Thomas Aquinas
"The world doesn't need what women have, it needs what women are.",St. Teresa Benedicta of the Cross
"Do not conform yourselves to this age but be transformed by the renewal of your mind, that you may discern what is the will of God, what is good and pleasing and perfect.",Romans 12:2
